Model,Accuracy,Precision_Down,Recall_Down,F1_Down,Precision_Up,Recall_Up,F1_Up,Macro_Precision,Macro_Recall,Macro_F1,Weighted_F1,Improvement_vs_static_test(%)
Static (train 2016),0.586173001310616,0.5636863136863137,0.7434123847167325,0.6411931818181819,0.6290476190476191,0.4305736636245111,0.5112229102167183,0.5963669663669664,0.5869930241706218,0.5762080460174501,0.5758673637852051,26.78519558763947
Static (test 2021),0.46233552631578945,0.46233552631578945,1.0,0.632324822854572,0.0,0.0,0.0,0.23116776315789472,0.5,0.316162411427286,0.2923462297770069,0.0
Sliding-window (test 2021),0.5421052631578948,0.5141657922350472,0.17431519032372822,0.2603613177470776,0.547298615174566,0.8583664729275008,0.6684135302525012,0.5307322037048066,0.5163408316256145,0.4643874239997894,0.4797564958194837,17.253646389185352
Fine-tuned (test 2021),0.5473684210526316,0.5570599613152805,0.10245464247598719,0.17307692307692307,0.5464677332374618,0.9299479963291526,0.6884057971014492,0.5517638472763711,0.5162013194025699,0.4307413600891862,0.4501509509035968,18.392031305585217
