,Datetime,Open,High,Low,Close,Volume,SMA_10,SMA_20,EMA_10,RSI,MACD,Signal_Line,BB_Middle,BB_Upper,BB_Lower,Momentum,Volatility,Future_Close,Target
0,2021-01-01 08:30:00+00:00,14033.8,14043.45,14031.85,14043.45,0.0,14030.315000000002,14028.5275,14032.413064918268,57.503867973182416,3.9743540259460133,2.864362179786204,14028.5275,14044.233934316782,14012.821065683218,23.900000000001455,9.820246941905943,14045.8,1
1,2021-01-01 08:45:00+00:00,14042.5,14049.3,14036.7,14045.8,0.0,14034.085000000001,14029.907499999998,14034.847053114945,60.426417056681736,4.81714304012894,3.254918351854751,14029.907499999998,14046.611620985394,14013.203379014602,37.69999999999891,7.242507622826209,14045.6,0
2,2021-01-01 09:00:00+00:00,14045.6,14049.8,14039.95,14045.6,0.0,14036.34,14030.99,14036.802134366773,58.760107816711596,5.4065971903837635,3.685254119560554,14030.99,14048.835583266042,14013.144416733958,22.55000000000109,6.928676320596542,14040.1,0
3,2021-01-01 09:15:00+00:00,14044.25,14046.2,14039.45,14040.1,0.0,14037.51,14031.375,14037.401746300087,54.96654657745737,5.36806016063565,4.021815327775574,14031.375,14049.675115041342,14013.074884958658,11.700000000000728,6.407148785192879,14015.0,0
4,2021-01-01 09:30:00+00:00,14040.3,14040.3,14013.75,14015.0,0.0,14035.210000000001,14030.8625,14033.328701518252,47.956892680736715,3.2744136540168256,3.8723349930238244,14030.8625,14050.416039859898,14011.3089601401,-23.0,9.562798288741071,14014.8,0
5,2021-01-01 09:45:00+00:00,14016.15,14028.8,14001.6,14014.8,0.0,14033.144999999999,14029.922499999997,14029.95984669675,53.34665334665279,1.580822645650187,3.414032523549097,14029.922499999997,14050.69169467308,14009.153305326914,-20.650000000001455,11.532043521328474,14103.4,1
6,2021-01-04 03:45:00+00:00,14104.35,14106.4,14080.6,14103.4,0.0,14040.325,14033.647500000001,14043.312601842796,73.12230215827324,7.303726298405309,4.19197127852034,14033.647500000001,14072.497663922977,13994.797336077025,71.79999999999927,24.977203495277273,14093.8,0
7,2021-01-04 04:00:00+00:00,14103.65,14113.2,14091.5,14093.8,0.0,14046.194999999998,14037.05,14052.492128780468,68.37078651685364,10.93843740756165,5.541264504328602,14037.05,14084.05225078597,13990.047749214029,58.69999999999891,30.004540860047605,14101.4,1
8,2021-01-04 04:15:00+00:00,14093.4,14107.35,14084.2,14101.4,0.0,14053.755000000001,14040.6525,14061.3844690022,68.01136363636334,14.267758790432708,7.286563361549424,14040.6525,14095.551119242535,13985.753880757466,75.60000000000036,33.60316164027202,14086.55,0
9,2021-01-04 04:30:00+00:00,14101.75,14106.05,14080.35,14086.55,0.0,14058.99,14043.4575,14065.960020092707,63.568773234200144,15.52899054293448,8.935048797826436,14043.4575,14101.786794571964,13985.128205428036,52.349999999998545,34.288990782595235,14089.9,1
