Date,Close,High,Low,Open,Volume,SMA_10,SMA_20,RSI,MACD,MACD_signal,BB_high,BB_low,BB_width,Momentum,Next_Close,UpDown
05-01-2024,7.43740925811254,7.606823166031278,7.09127963417789,7.569383481520568,0.5522510231923602,9.349349375377662,10.073588070819774,0.4064788202257221,1.100574282924811,1.4655671021875394,12.474769091383415,7.660170354999527,6.256138446960137,0.08384864616808108,21771.69922,1
05-02-2024,7.468136561710457,7.7178085214202685,7.138104864301984,7.680429085438201,0.9110504774897681,9.355866807733076,9.965967314914781,0.4119124122920115,0.5851341248166164,1.2878263069991633,12.353230026224185,7.568994193826044,6.237667996711908,0.09819735181527389,22356.30078,1
05-03-2024,7.76310683710563,7.951770583968729,7.397835754929125,7.912628171145867,0.5165075034106412,9.353025933306313,9.907055154621478,0.4651671984400978,0.33619673506070147,1.0868813195240934,12.2936866500151,7.513362701851368,6.252918021240211,0.23593939751185045,22513.69922,1
05-04-2024,7.842524793488726,8.014163564066948,7.473737761982663,7.972019245339377,0.3691678035470669,9.352971121568823,9.937630546173757,0.47967784915484046,0.18570760982329,0.8906080054284646,12.26025488565438,7.594909298309976,6.011510880553398,0.28368930272053083,22620.34961,1
05-06-2024,7.8963369915083526,8.082812196788579,7.16924184597018,7.787347526554711,1.4504774897680766,9.39537489340264,9.943329174752993,0.49002063938988705,0.10061963996153461,0.713507524324402,12.258377254618662,7.606543613549015,5.982317347009047,0.30974091991947705,24323.84961,1
05-07-2024,8.755865768913045,8.957766763860175,8.307849597824902,8.862727207800013,0.5225102319236017,9.396625323872872,10.000039513193943,0.6408013057165466,0.49082546644889896,0.6639206165563422,12.318043136378602,7.658173546659609,5.97615867106011,0.7258568844124698,24055.59961,0
05-08-2024,8.620515845497248,8.951072930828385,8.176044172449103,8.90888858980071,1.0371077762619374,9.330753528349643,10.024334713794403,0.6146380805228552,0.7265522395905781,0.6798855701834297,12.351538976817029,7.673795944969089,6.002317052143637,0.66033113890308,25145.09961,1
05-09-2024,9.170240883937172,9.429438627390802,8.767192118825758,9.397657882045403,0.31459754433833564,9.33827366853741,10.050682914264296,0.7017206901808136,1.1982967486841059,0.8039951636466677,12.431991466279186,7.654610311542387,6.190834543220621,0.926464595501328,24213.30078,0
05-11-2024,8.700086549251512,8.888524468693465,8.151637942769892,8.709621193900928,0.49822646657571623,9.350833234456857,10.017953290285345,0.6090428593681371,1.3140380704960548,0.9305992443959262,12.32981998023746,7.680271493312632,5.948551911372077,0.6708360429976412,24708.40039,1
05-12-2024,8.94989715240786,9.213517603870514,8.368543321019196,9.03076535597549,0.6946793997271488,9.3647181890684,10.00132994282896,0.649659288296064,1.5275960239738877,1.0822848688945248,12.269030155528135,7.700589187842165,5.7932065223143026,0.8026817709851468,21929.40039,0
