,Datetime,Open,High,Low,Close,Volume,SMA_10,SMA_20,EMA_10,RSI,MACD,Signal_Line,BB_Middle,BB_Upper,BB_Lower,Momentum,Volatility,Future_Close,Target,Updown,return,rsi,ema_10,ema_30,volatility
0,2016-01-01 08:30:00+00:00,-0.2534019381219293,-0.2575615810742473,-0.24212014783386845,-0.24870507615092216,0.0,7944.225,7940.17,7947.801209516104,66.38465877044558,7.358544061023167,4.987735272366413,7940.17,7964.5457947238865,7915.794205276114,26.050000000000182,13.819938293800783,7970.0,1,1,0.007508603956499174,-3.354153232443775,-6.634880654654996e-05,-0.0007113845824659504,-0.27627736164585154
1,2016-01-01 08:45:00+00:00,-0.2489236581521388,-0.255866262391511,-0.24082887103784648,-0.24163955010573665,0.0,7946.604999999999,7942.58,7951.8373532404485,64.67101363366918,8.718169561905597,5.73382213027425,7942.58,7968.771850882127,7916.388149117873,23.800000000000182,16.064876283371138,7967.55,0,0,-0.0045292551952019885,-3.354153232443775,-6.634880654654996e-05,-0.0007113845824659504,-0.27627736164585154
2,2016-01-01 09:00:00+00:00,-0.24145985820248794,-0.25197700188405914,-0.23983558119475348,-0.24651575822142743,0.0,7949.12,7944.777500000001,7954.694198105821,60.76642335766415,9.488609261320562,6.484779556483512,7944.777500000001,7971.630873305691,7917.924126694311,25.150000000000546,17.257787292183316,7966.25,0,0,0.016059342355943185,-3.354153232443775,-6.634880654654996e-05,-0.0007113845824659504,-0.27627736164585154
3,2016-01-01 09:15:00+00:00,-0.24733138082954623,-0.26085249381132153,-0.24867586079828252,-0.24910313395628433,0.0,7951.955,7946.405000000001,7956.795252995671,63.46886912325278,9.880394105462074,7.163902466279225,7946.405000000001,7974.354670933004,7918.455329066997,28.350000000000364,17.536176100343056,7964.45,0,0,0.01195598376531394,-3.354153232443775,-6.634880654654996e-05,-0.0007113845824659504,-0.27627736164585154
4,2016-01-01 09:30:00+00:00,-0.2500183488114195,-0.26075276918292495,-0.2434114246298886,-0.25268565420454764,0.0,7955.139999999999,7948.077499999999,7958.187025178277,65.8536585365856,9.931161215768043,7.7173542161769895,7948.077499999999,7976.148790353406,7920.006209646593,31.849999999999454,16.491492756368483,7957.45,0,0,0.013602553691174109,-3.354153232443775,-6.634880654654996e-05,-0.0007113845824659504,-0.27627736164585154
5,2016-01-01 09:45:00+00:00,-0.25360097278725224,-0.26434285580518885,-0.25105975642170536,-0.26661767739223663,0.0,7957.264999999999,7949.295,7958.053020600408,57.300454250486766,9.299355832495166,8.033754539440626,7949.295,7976.736265507107,7921.853734492893,21.25,15.089290720390522,7916.85,0,0,0.03087130263576226,-3.354153232443775,-6.634880654654996e-05,-0.0007113845824659504,-0.27627736164585154
6,2016-01-04 03:45:00+00:00,-0.3327172522535511,-0.34761292051602466,-0.35932834931884083,-0.347423411880832,0.0,7956.005,7948.2675,7950.5615623094245,38.77909530083461,5.459629611042146,7.51892955376093,7948.2675,7978.933549717287,7917.601450282713,-12.599999999999454,17.928878783807388,7931.55,1,1,0.13593155540317567,-3.354153232443775,-6.634880654654996e-05,-0.0007113845824659504,-0.27627736164585154
7,2016-01-04 04:00:00+00:00,-0.3481424388161628,-0.3288646903775378,-0.34224376401764073,-0.31816616318668534,0.0,7956.1449999999995,7947.5824999999995,7947.104914616802,47.44054816606226,3.561728672741083,6.727489377556962,7947.5824999999995,7979.131680905206,7916.033319094793,1.4000000000005457,17.708667839978215,7918.75,0,0,-0.028174597162181198,-3.354153232443775,-6.634880654654996e-05,-0.0007113845824659504,-0.27627736164585154
8,2016-01-04 04:15:00+00:00,-0.3191828950115172,-0.32188396638980304,-0.32833770621433894,-0.3436418627298885,0.0,7952.3949999999995,7946.027499999999,7941.949475595564,44.735841885214576,1.013097126518005,5.58461092734917,7946.027499999999,7980.073065056258,7911.98193494374,-37.5,21.291944877504342,7885.65,0,0,0.0414368596830097,-3.354153232443775,-6.634880654654996e-05,-0.0007113845824659504,-0.27627736164585154
9,2016-01-04 04:30:00+00:00,-0.34426126284234476,-0.35918097740998545,-0.408396867567634,-0.40952042951739026,0.0,7944.495,7943.0575,7931.713207305461,34.30611611300834,-3.6356950778044848,3.7405497263184397,7943.0575,7986.522661790492,7899.592338209508,-79.0,29.365006101367765,7890.0,1,1,0.08874066702835799,-3.354153232443775,-0.31215427823177383,-0.0007113845824659504,-0.27627736164585154
10,2016-01-04 04:45:00+00:00,-0.41183353171984993,-0.40136449522158174,-0.40531766905404537,-0.40086267225075417,0.0,7936.85,7940.5375,7924.128987795377,37.56697132051696,-6.889470222754426,1.614545736503867,7940.5375,7990.0718036374,7891.003196362601,-76.44999999999982,32.768472313762636,7874.0,0,0,-0.0014495647863860045,-3.354153232443775,-0.32837579689223745,-0.0007113845824659504,-0.27627736164585154
11,2016-01-04 05:00:00+00:00,-0.4014837291230012,-0.4130322767439391,-0.43521569333114457,-0.4327072966797577,0.0,7927.25,7936.9275,7915.014626378035,33.86030468525456,-10.636565048880584,-0.8356764205730232,7936.9275,7994.582293702189,7879.27270629781,-96.0,35.89112394141275,7871.25,0,0,0.04116982915710799,-3.354153232443775,-0.34744428759549234,-0.0007113845824659504,-0.27627736164585154
12,2016-01-04 05:15:00+00:00,-0.43352831024016947,-0.44055627418129356,-0.430447902084299,-0.43818059150349264,0.0,7917.62,7933.37,7907.057421582029,21.77954847277563,-13.67048190639889,-3.402637517738197,7933.37,7997.965628009136,7868.774371990864,-96.30000000000018,36.78480362565314,7845.45,0,0,0.01286834773839483,-3.354153232443775,-0.3640420257670588,-0.0007113845824659504,-0.27627736164585154
13,2016-01-04 05:30:00+00:00,-0.43910128086924066,-0.4542185482715733,-0.4742519841646982,-0.4895300483952612,0.0,7905.539999999999,7928.7475,7895.856072203478,14.523809523809774,-17.94981298386938,-6.312072610964433,7928.7475,8004.283315659648,7853.211684340353,-120.80000000000018,38.819330808819345,7840.5,0,0,0.05716464857989934,-2.5663006642504724,-0.3869685901155228,-0.0007113845824659504,-0.27627736164585154
14,2016-01-04 05:45:00+00:00,-0.4900541551921911,-0.5048786594968494,-0.5046466533633439,-0.49938197907798376,0.0,7893.145000000001,7924.1425,7885.791331802846,13.204791118901724,-21.492880774094374,-9.348234243590422,7924.1425,8009.305552743731,7838.979447256269,-123.94999999999982,37.69161010387262,7831.9,0,0,0.016036293831008352,-2.59964472985979,-0.4075199306192011,-0.0007113845824659504,-0.27627736164585154
15,2016-01-04 06:00:00+00:00,-0.49980685379306744,-0.5120588327413754,-0.5054412852378194,-0.5164984647085739,0.0,7880.589999999999,7918.9275,7875.992907838691,10.811577752553987,-24.709895358753784,-12.420566466623097,7918.9275,8013.261634442695,7824.593365557304,-125.55000000000018,34.68181399843988,7823.9,0,0,0.022032098940558433,-2.6550076690501663,-0.4274501960097564,-0.0007113845824659504,-0.27627736164585154
16,2016-01-04 06:15:00+00:00,-0.5177199736722294,-0.5316048599070331,-0.5361339413893923,-0.5324207769230755,0.0,7871.295,7913.65,7866.521470049838,10.481430536451214,-27.586930769997707,-15.45383932729802,7913.65,8016.894599705848,7810.405400294151,-92.95000000000073,36.30190115927754,7839.9,1,1,0.020571110050068956,-2.702881013906836,-0.4466549463198303,-0.0007113845824659504,-0.27627736164585154
17,2016-01-04 06:30:00+00:00,-0.532647573571531,-0.5164467163908102,-0.5241151342879667,-0.5005761524940721,0.0,7862.13,7909.1375,7861.68120276805,17.84168999745485,-28.250284089120214,-18.01312827966246,7909.1375,8017.125739491255,7801.149260508744,-91.65000000000055,30.505848255342404,7830.05,0,0,-0.01783512654765431,-1.9363008420327787,-0.4565715847742879,-0.0007113845824659504,-0.27627736164585154
18,2016-01-04 06:45:00+00:00,-0.5013991311156599,-0.5144522238228859,-0.5041500084417974,-0.5201804994081762,0.0,7853.259999999999,7902.827500000001,7855.93007499204,17.139364303178567,-29.233819776874952,-20.257266579104957,7902.827500000001,8013.9280778325965,7791.726922167406,-88.69999999999982,24.522085283818914,7826.45,0,0,0.024103388896626103,-2.0476309147051217,-0.46825356929638695,-0.0007113845824659504,-0.27627736164585154
19,2016-01-04 07:00:00+00:00,-0.5210040456500769,-0.5307073382514675,-0.5176587503078623,-0.5273455399047028,0.0,7847.340000000001,7895.917499999999,7850.5700613571225,17.429139731476937,-29.95842671426908,-22.197498606137785,7895.917499999999,8008.014634922772,7783.820365077226,-59.19999999999982,22.927891796291746,7825.75,0,0,0.013345124082904126,-2.086798834141979,-0.4791157329238424,-0.0007113845824659504,-0.27627736164585154
20,2016-01-04 07:15:00+00:00,-0.5282688109344029,-0.5349954972725038,-0.5176587503078623,-0.5287387422234713,0.0,7840.915000000001,7888.8825,7846.057322928555,21.743176178660065,-30.240572585854352,-23.8061134020811,7888.8825,7999.9976288908065,7777.767371109193,-64.25,18.149503360215608,7811.9,0,0,0.008628063277387375,-2.094705150033768,-0.4882565475443408,-0.0007113845824659504,-0.27627736164585154
21,2016-01-04 07:30:00+00:00,-0.5296620535916707,-0.5414775981182576,-0.5435836152125897,-0.5563042452448282,0.0,7834.705,7880.977499999999,7839.846900577908,12.690988462737891,-31.221848438682173,-25.289260409401315,7880.977499999999,7990.274480624734,7771.680519375264,-62.100000000000364,16.07707909486335,7812.6,1,1,0.029599543839143577,-2.242476733589841,-0.5007528518793742,-0.0007113845824659504,-0.27627736164585154
22,2016-01-04 07:45:00+00:00,-0.557825458735021,-0.5656109581901412,-0.5484507354437449,-0.5549110429260579,0.0,7828.840000000001,7873.229999999999,7834.892918654652,14.198988195616081,-31.579009309829416,-26.547210189486936,7873.229999999999,7978.584441367169,7767.875558632828,-58.649999999999636,11.231720952544713,7804.05,0,0,0.006447418669811024,-2.207550417507204,-0.5107235110463665,-0.0007113845824659504,-0.27627736164585154
23,2016-01-04 08:00:00+00:00,-0.5557355947491184,-0.5654115089333481,-0.5685151902742239,-0.571928014105307,0.0,7824.7,7865.12,7829.285115262897,17.016976556184986,-32.18101273526008,-27.673970698641565,7865.12,7965.162740339996,7765.077259660004,-41.399999999999636,12.030609109925892,7790.25,0,0,0.02050276668410642,-2.295884377653935,-0.5219787417836695,-0.0007113845824659504,-0.27627736164585154
24,2016-01-04 08:15:00+00:00,-0.5711607813117301,-0.5839602898150436,-0.584308498779402,-0.5993940026753228,0.0,7819.675,7856.410000000001,7822.187821578734,12.542245587683468,-33.38678735364374,-28.816534029642,7856.410000000001,7950.176112159312,7762.64388784069,-50.25,14.8596255747747,7798.55,1,1,0.027857613279199545,-2.420861309759828,-0.5361869093819431,-0.0007113845824659504,-0.27627736164585154
25,2016-01-04 08:30:00+00:00,-0.6011154984429958,-0.5943316511682492,-0.5906655537751968,-0.5828746037527769,0.0,7816.339999999999,7848.464999999999,7817.890035837145,19.928258270227644,-33.28889809620978,-29.71100684295556,7848.464999999999,7932.618538250026,7764.311461749972,-33.349999999999454,15.538014316159117,7805.5,1,1,-0.004169470856027047,-2.0170924580813554,-0.5448049228869479,-0.0007113845824659504,-0.27627736164585154
26,2016-01-04 08:45:00+00:00,-0.5844961038884392,-0.581566898733535,-0.5707004279290274,-0.5690420950164289,0.0,7814.5,7842.897499999999,7815.637302048573,24.64327034323206,-32.27842761706688,-30.224490997777824,7842.897499999999,7922.61829881158,7763.1767011884185,-18.399999999999636,15.632462662330797,7789.75,0,0,-0.002547163587454571,-1.69922908480187,-0.5493382400612029,-0.0007113845824659504,-0.27627736164585154
27,2016-01-04 09:00:00+00:00,-0.5704641599830953,-0.5829630435310815,-0.5887783030733206,-0.6003891471887293,0.0,7809.484999999999,7835.8075,7810.930519857922,26.7140468227428,-32.37531339418183,-30.654655477058625,7835.8075,7907.108502244367,7764.506497755633,-50.149999999999636,14.587914518541774,7808.0,1,1,0.030850800282170885,-1.9112773060120467,-0.5587530890231968,-0.0007113845824659504,-0.27627736164585154
28,2016-01-04 09:15:00+00:00,-0.6008169464450087,-0.5790737830236297,-0.5961286479122082,-0.5640663724493971,0.0,7807.280000000001,7830.2699999999995,7810.3976980655725,37.772761474793214,-30.626431158084415,-30.649010613263783,7830.2699999999995,7890.843968701159,7769.69603129884,-22.050000000000182,12.675133135406666,7784.25,0,0,-0.01812652990387635,-1.1982153072283146,-0.5598446980108661,-0.0007113845824659504,-0.27627736164585154
29,2016-01-04 09:30:00+00:00,-0.5648911893540242,-0.5717938851507071,-0.5965259638494451,-0.6113357368361991,0.0,7803.0599999999995,7825.2,7805.643571144559,33.90746369469798,-30.801792014042803,-30.67956689341959,7825.2,7883.175539306618,7767.224460693382,-42.19999999999982,12.608370235692224,7789.15,1,1,0.04301764619038468,-1.5472891697757747,-0.5693417734470914,-0.4788343649960393,-0.27627736164585154
30,2016-01-04 09:45:00+00:00,-0.6119628877031547,-0.6058997080622099,-0.6005984522061267,-0.6015833206048176,0.0,7799.4,7820.157499999999,7802.644740027366,38.01310796826498,-30.19728223436141,-30.583109961607956,7820.157499999999,7871.574374917814,7768.740625082185,-36.600000000000364,10.410651596656196,7807.25,1,1,0.0007489906853806268,-1.3803025603499157,-0.5753369790541225,-0.48694212827465444,-0.27627736164585154
31,2016-01-05 03:45:00+00:00,-0.5240890829625996,-0.5339982509885418,-0.5515299339573335,-0.5655590892195066,0.0,7798.935,7816.82,7803.48206002239,38.89833390003421,-27.935660244761493,-30.053620018238664,7816.82,7861.781649154977,7771.858350845023,-4.649999999999636,9.880650282258522,7798.95,0,0,-0.01786536138171892,-0.8169187739835149,-0.5736850387028948,-0.49219412806119717,-0.27627736164585154
32,2016-01-05 04:00:00+00:00,-0.5675781573358973,-0.5747856240025934,-0.5722896916779766,-0.5820784881420525,0.0,7797.57,7813.205,7802.658049109228,39.31271477663231,-26.5074873441381,-29.344393483418553,7813.205,7850.755553994069,7775.654446005931,-13.650000000000546,8.649219617994166,7800.85,1,1,0.019885326634728792,-0.9603967041622355,-0.5753403020363821,-0.4981769720534294,-0.27627736164585154
33,2016-01-05 04:15:00+00:00,-0.582306722569876,-0.5943316511682492,-0.5971219377553012,-0.5782969389911073,0.0,7797.25,7810.975,7802.32931290755,41.09874826147458,-24.934901882462327,-28.46249516322731,7810.975,7845.649903710994,7776.300096289006,-3.199999999999818,8.439490505966328,7808.6,1,1,0.004755785283408113,-0.9023501864538914,-0.5760062931353482,-0.503528958940434,-0.27627736164585154
34,2016-01-05 04:30:00+00:00,-0.5784255465960562,-0.5768798411989123,-0.57318365253676,-0.5628721990333088,0.0,7799.085000000001,7809.38,7803.46943783345,44.315545243619695,-22.800427211549504,-27.33008157289175,7809.38,7841.149538538443,7777.610461461557,18.350000000000364,8.73800924443622,7813.6,1,1,-0.003793423628623951,-0.6651972520661984,-0.5737435932056095,-0.5075368560511754,-0.27627736164585154
